ADM1	PLACE_ID	LAT	LON	NAMEAD.06	G3039162	42.5	1.5	Sant Julia de Loria
BQ.SE	G7610359	17.5	-63.0	Sint Eustatius
BR.22	G3390290	-5.8	-36.5	Rio Grande do Norte
BR.20	G3392213	-7.2	-42.3	Piaui
BR.30	G3392268	-8.3	-37.8	Pernambuco
BR.17	G3393098	-7.2	-36.5	Paraiba
BR.16	G3393129	-4.0	-53.0	Para
BR.13	G3395443	-5.0	-45.0	Maranhao
BR.06	G3402362	-5.0	-39.5	Ceara
BR.03	G3407762	1.0	-52.0	Amapa
BR.02	G3408096	-9.6	-36.4	Alagoas
BR.28	G3447799	-10.5	-37.3	Sergipe
BR.27	G3448433	-22.0	-49.0	Sao Paulo
BR.26	G3450387	-27.0	-50.0	Santa Catarina
BR.23	G3451133	-30.0	-53.5	Rio Grande do Sul
BR.21	G3451189	-22.2	-42.5	Rio de Janeiro
BR.18	G3455077	-24.5	-51.3	Parana
BR.15	G3457153	-18.0	-44.0	Minas Gerais
BR.11	G3457415	-20.5	-55.0	Mato Grosso do Sul
BR.14	G3457419	-13.0	-56.0	Mato Grosso
BR.29	G3462372	-15.6	-49.6	Goias
BR.07	G3463504	-15.8	-47.8	Federal District
BR.08	G3463930	-20.0	-40.8	Espirito Santo
BR.05	G3471168	-12.0	-42.0	Bahia
BR.31	G3474575	-10.5	-48.0	Tocantins
BR.25	G3662560	2.2	-61.2	Roraima
BR.04	G3665361	-3.8	-64.5	Amazonas
BR.01	G3665474	-9.0	-70.0	Acre
BR.24	G3924825	-11.0	-63.0	Rondonia
BS.35	G3571493	24.0	-74.5	San Salvador District
BS.18	G3571629	22.4	-75.8	Ragged Island District
BS.32	G3571809	25.7	-77.8	Berry Islands District
BS.23	G3571815	25.0	-77.3	New Providence District
BS.16	G3571894	22.4	-73.0	Mayaguana District
BS.15	G3572005	23.2	-75.1	Long Island
BS.13	G3572154	21.1	-73.3	Inagua
BS.22	G3572238	25.5	-76.6	Harbour Island District
